DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P7480S1;P7480S1A1;P7480S3;P7480S3A1;P7480S4;P7480S4A1;P7480S5;P7480S5A1;P7480S6;P7480S6A1;P7480S7;P7480S7A1;P7480S8;P7480S8A1;P7480S9;P7480S9A1;P7480S10;P7480S10A1;P7480S11;P7480S11A1;P7481;AREA;MES;DPTO;fex_c_2011
5282584;1;1;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;3124
5282584;1;2;1;90;2; ;1;35;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;3124
5282585;1;1;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;3124
5282585;1;2;1;90;2; ;1;21;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;3124
5282586;1;1;1;90;2; ;1;5;2; ;2; ;2; ;2; ;1;3;2; ;2; ;2; ; ;11;11;11;3770
5282587;1;1;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;3457
5282587;1;2;1;90;2; ;1;20;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;3457
5282587;1;3;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;3457
5282587;1;4;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;3457
5282588;1;1;1;90;2; ;1;42;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;2987
5282588;1;2;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;2987
5282589;1;1;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;3109
5282589;1;2;1;90;2; ;1;7;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;3109
5282589;1;3;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;3109
5282589;1;4;1;90;2; ;2; ;2; ;2; ;2; ;2; ;1;20;2; ;2; ;2; ; ;11;11;11;3109
5282590;1;1;1;90;2; ;1;21;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;3700
5282590;1;2;1;90;2; ;1;36;2; ;1;24;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;3700
5282591;1;1;1;90;2; ;1;31;2; ;2; ;1;8;2; ;2; ;2; ;2; ;2; ; ;11;11;11;3154
5282591;1;2;1;90;2; ;1;7;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;3154
5282591;1;3;1;90;2; ;1;7;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;3154
5282592;1;1;1;90;2; ;1;38;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;3124
5282592;1;2;1;90;2; ;1;3;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;3124
5282593;1;1;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;3568
5282593;1;2;1;90;2; ;1;35;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;3568
5282595;1;1;1;90;2; ;1;8;2; ;1;21;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;3504
5282595;1;3;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;3504
5282595;1;4;1;90;2; ;1;15;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;3504
5282595;1;5;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;3504
5282596;1;1;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;3326
5282597;1;1;1;90;2; ;1;21;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;3086
5282597;1;2;1;90;2; ;1;6;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;3086
5282598;1;1;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;2702
5282598;1;2;1;90;2; ;1;40;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;2702
5282598;1;3;1;90;2; ;1;10;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;2702
5282598;1;4;1;90;2; ;1;45;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;2702
5282599;1;1;1;90;2; ;1;42;2; ;1;28;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;3504
5282599;1;2;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;3504
5282600;1;1;1;90;2; ;1;12;2; ;1;20;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;3464
5282600;1;2;1;90;2; ;1;7;2; ;1;14;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;3464
5282601;1;1;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;3831
5282601;1;2;1;90;2; ;1;42;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;3831
5282601;1;3;1;90;2; ;1;6;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;3831
5282602;1;1;1;90;2; ;2; ;2; ;1;48;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;3868
5282602;1;2;1;90;2; ;1;35;2; ;1;48;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;3868
5282602;1;3;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;3868
5282604;1;1;1;90;2; ;1;49;2; ;1;49;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;4313
5282604;1;2;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;4313
5282604;1;3;1;90;2; ;1;15;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;4313
5282604;1;4;1;90;2; ;1;14;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;4313
5282605;1;1;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;3787
5282605;1;2;1;90;2; ;2; ;1;4;2; ;1;40;2; ;2; ;2; ;2; ;2; ; ;11;11;11;3787
5282605;1;3;1;90;2; ;1;3;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;3787
5282605;1;4;1;90;2; ;1;10;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;3787
5282606;1;1;1;90;2; ;1;42;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;2785
5282606;1;2;1;90;2; ;1;6;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;2785
5282606;1;3;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;2785
5282607;1;1;1;90;2; ;1;14;2; ;1;20;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;3647
5282608;1;1;1;90;2; ;1;21;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;2497
5282608;1;2;1;90;2; ;1;21;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;2497
5282608;1;3;1;90;2; ;1;2;2; ;1;3;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;2497
5282608;1;4;1;90;2; ;1;3;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;2497
5282608;1;5;1;90;2; ;1;3;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;2497
5282609;1;1;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;2987
5282609;1;2;1;90;2; ;1;28;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;2987
5282610;1;1;1;90;2; ;1;36;2; ;1;21;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;3665
5282610;1;2;1;90;2; ;1;25;2; ;1;24;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;3665
5282610;1;4;1;90;2; ;1;36;2; ;1;24;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;3665
5282610;1;6;1;90;2; ;1;26;2; ;1;8;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;3665
5282610;1;7;1;90;2; ;1;14;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;3665
5282611;1;1;1;90;2; ;1;21;2; ;1;10;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;4257
5282611;1;2;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;4257
5282612;1;1;1;90;2; ;1;4;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;3484
5282612;1;2;1;90;2; ;1;35;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;3484
5282612;1;3;1;90;2; ;1;4;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;3484
5282613;1;1;1;90;2; ;1;10;2; ;1;12;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;3157
5282613;1;2;1;90;2; ;1;5;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;3157
5282613;1;3;1;90;2; ;1;5;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;3157
5282613;1;4;1;90;2; ;1;4;2; ;1;14;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;3157
5282614;1;1;1;90;2; ;1;6;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;3356
5282614;1;2;1;90;2; ;1;14;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;3356
5282616;1;1;1;90;2; ;1;10;2; ;1;10;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;3302
5282616;1;2;1;90;2; ;1;70;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;3302
5282616;1;3;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;3302
5282617;1;1;1;90;2; ;1;15;2; ;1;21;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;3464
5282617;1;2;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;3464
5282618;1;1;1;90;2; ;1;8;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;3124
5282618;1;2;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;3124
5282618;1;3;1;90;2; ;1;8;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;3124
5282618;1;4;1;90;2; ;1;35;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;3124
5282619;1;1;1;90;2; ;1;20;2; ;1;14;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;3647
5282620;1;1;1;90;2; ;1;32;2; ;1;16;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;3681
5282620;1;2;1;90;2; ;1;24;2; ;1;30;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;3681
5282621;1;1;1;90;2; ;1;2;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;3614
5282621;1;2;1;90;2; ;1;8;2; ;2; ;2; ;2; ;1;25;2; ;2; ;2; ; ;11;11;11;3614
5282621;1;3;1;90;2; ;1;12;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;3614
5282621;1;4;1;90;2; ;1;4;2; ;2; ;2; ;2; ;1;7;2; ;2; ;2; ; ;11;11;11;3614
5282622;1;1;1;90;2; ;1;36;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;2785
5282622;1;2;1;90;2; ;1;21;2; ;1;24;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;2785
5282622;1;3;1;90;2; ;1;24;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;2785
5282623;1;1;1;90;2; ;1;7;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;2640
5282623;1;2;1;90;2; ;1;32;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;2640
5282623;1;3;1;90;2; ;1;3;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;2640
5282623;1;4;1;90;2; ;1;14;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;2640
5282624;1;1;1;90;2; ;1;14;2; ;2; ;1;21;2; ;2; ;2; ;2; ;2; ; ;11;11;11;3267
5282625;1;1;1;90;2; ;1;8;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;3356
5282625;1;2;1;90;2; ;1;3;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;3356
5282626;1;1;1;90;2; ;1;7;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;3419
5282626;1;2;1;90;2; ;1;30;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;3419
5282626;1;3;1;90;2; ;1;3;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;3419
5282626;1;4;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;3419
5282627;1;1;1;90;2; ;1;18;2; ;1;14;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;3543
5282627;1;2;1;90;2; ;1;3;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;3543
5282627;1;5;1;90;2; ;1;10;2; ;1;80;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;3543
5282628;1;1;1;90;2; ;1;8;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;3229
5282629;1;1;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;3530
5282629;1;2;1;90;2; ;1;21;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;3530
5282630;1;1;1;90;2; ;1;40;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;3456
5282630;1;2;1;90;2; ;1;42;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;3456
5282630;1;3;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;3456
5282630;1;4;1;90;2; ;1;3;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;3456
5282630;1;5;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;3456
5282630;1;6;1;90;2; ;1;14;2; ;1;14;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;3456
5282632;1;1;1;90;2; ;1;7;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;3326
5282633;1;1;1;90;2; ;1;16;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;3454
5282633;1;2;1;90;2; ;1;28;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;3454
5282634;1;1;1;90;2; ;1;10;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;3183
5282634;1;2;1;90;2; ;1;14;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;3183
5282635;1;1;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;3154
5282635;1;2;1;90;2; ;1;21;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;3154
5282635;1;3;1;90;2; ;1;7;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;3154
5282636;1;1;1;90;2; ;1;30;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;3229
5282637;1;1;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;3770
5282638;1;1;1;90;2; ;1;10;2; ;1;10;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;4263
5282639;1;1;1;90;2; ;1;21;2; ;1;14;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;3262
5282639;1;2;1;90;2; ;1;40;2; ;1;20;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;3262
5282639;1;3;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;3262
5282640;1;1;1;90;2; ;1;2;2; ;1;8;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;3740
5282640;1;2;1;90;2; ;1;12;2; ;1;12;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;3740
5282641;1;1;1;90;2; ;1;2;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;3326
5282642;1;1;1;90;2; ;1;8;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;3693
5282642;1;2;1;90;2; ;1;14;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;3693
5282642;1;3;1;90;2; ;1;5;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;3693
5282642;1;4;1;90;2; ;1;14;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;3693
5282642;1;5;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;3693
5282643;1;1;1;90;2; ;1;21;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;3267
5282644;1;1;1;90;2; ;1;12;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;3770
5282645;1;1;1;90;2; ;1;35;2; ;2; ;1;20;2; ;2; ;2; ;2; ;2; ; ;11;11;11;2741
5282645;1;2;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;2741
5282645;1;3;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;2741
5282645;1;4;1;90;2; ;1;3;2; ;2; ;1;10;2; ;2; ;2; ;2; ;2; ; ;11;11;11;2741
5282646;1;1;1;90;2; ;1;10;2; ;1;10;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;2770
5282646;1;2;1;90;2; ;1;7;2; ;1;10;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;2770
5282646;1;3;1;90;2; ;1;4;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;2770
5282646;1;4;1;90;2; ;1;4;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;2770
5282646;1;5;1;90;2; ;1;20;2; ;1;6;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;2770
5282647;1;1;1;90;2; ;1;40;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;3086
5282647;1;2;1;90;2; ;2; ;2; ;2; ;2; ;2; ;1;9;2; ;2; ;2; ; ;11;11;11;3086
5282648;1;1;1;90;2; ;1;2;2; ;1;4;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;4120
5282648;1;2;1;90;2; ;1;10;2; ;1;16;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;4120
5282649;1;1;1;90;2; ;1;14;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;3065
5282649;1;2;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;3065
5282650;1;1;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;4120
5282650;1;2;1;90;2; ;1;12;2; ;1;24;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;4120
5282654;1;1;1;90;2; ;1;40;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;3530
5282654;1;2;1;90;2; ;1;28;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;3530
5282656;1;1;1;90;2; ;1;3;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;3086
5282656;1;2;1;90;2; ;1;40;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;3086
5282657;1;1;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;3948
5282657;1;2;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;3948
5282658;1;1;1;90;2; ;1;14;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;2987
5282658;1;2;1;90;2; ;1;21;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;2987
5282659;1;1;1;90;2; ;1;45;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;2896
5282659;1;2;1;90;2; ;1;2;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;2896
5282659;1;3;1;90;2; ;1;1;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;2896
5282659;1;4;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;2896
5282659;1;5;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;2896
5282659;1;6;1;90;2; ;1;38;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;2896
5282660;1;1;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;3229
5282661;1;1;1;90;2; ;1;30;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;3357
5282661;1;2;1;90;2; ;1;7;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;3357
5282662;1;1;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;3770
5282663;1;1;1;90;2; ;1;10;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;3267
5282665;1;1;1;90;2; ;1;10;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;3740
5282665;1;2;1;90;2; ;1;7;2; ;1;7;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;3740
5282667;1;1;1;90;2; ;1;9;2; ;1;9;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;2878
5282667;1;2;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;2878
5282667;1;3;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;2878
5282667;1;5;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;2878
5282667;1;6;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;2878
5282668;1;1;1;90;2; ;1;8;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;3740
5282668;1;2;1;90;2; ;1;20;2; ;1;30;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;3740
5282669;1;1;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;3530
5282669;1;2;1;90;2; ;1;15;2; ;2; ;1;40;2; ;2; ;2; ;2; ;2; ; ;11;11;11;3530
5282670;1;1;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;3464
5282670;1;2;1;90;2; ;2; ;2; ;1;25;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;3464
5282671;1;1;1;90;2; ;1;14;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;2640
5282671;1;2;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;2640
5282671;1;3;1;90;2; ;1;2;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;2640
5282671;1;4;1;90;2; ;1;6;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;2640
5282672;1;1;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;3392
5282672;1;2;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;3392
5282672;1;4;1;90;2; ;1;20;2; ;1;30;2; ;1;15;2; ;2; ;2; ;2; ; ;11;11;11;3392
5282672;1;5;1;90;2; ;1;12;2; ;1;10;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;3392
5282673;1;1;1;90;2; ;1;49;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;3387
5282673;1;2;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;3387
5282673;1;3;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;3387
5282674;1;1;1;90;2; ;1;1;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;2982
5282674;1;2;1;90;2; ;1;14;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;2982
5282674;1;3;1;90;2; ;1;2;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;2982
5282674;1;4;1;90;2; ;1;24;2; ;1;20;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;2982
5282675;1;1;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;3530
5282675;1;2;1;90;2; ;2; ;2; ;2; ;1;60;2; ;2; ;2; ;2; ;2; ; ;11;11;11;3530
5282676;1;1;1;90;2; ;1;35;2; ;1;35;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;3267
5282677;1;1;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;3740
5282677;1;2;1;90;2; ;1;36;2; ;1;24;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;3740
5282678;1;1;1;90;2; ;1;21;2; ;2; ;2; ;2; ;1;8;2; ;2; ;2; ; ;11;11;11;3405
5282678;1;2;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;3405
5282679;1;1;1;90;2; ;1;36;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;3124
5282679;1;2;1;90;2; ;1;8;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;11;11;11;3124
