idnoremp;Seccion19;Division;periodo;intio;pottcag;gppgpa;ocgtot;CONINTER;OTROSG;PEROCU;PEREMU;PMISION;SULPERM;SULSAL;SULTEMP;SULMISION;SULAPRENDIZ;PRESPERM;PRESTEMP;PRESMISION;PRESTA;REMU;PROBRU;VALAGRE;TOTG;idaio;imesetot;inoio;insertot;potpsfr;pompsfr;pohpsfr;potperm;pomperm;pohperm;pottcde;pomtcde;pohtcde;pottmoe;pomtmoe;pohtmoe;pomtcag;pohtcag;potpau;pompau;pohpau;pomtot;pohtot;pottot;pompsfr1;pohpsfr2;pompsfr3;pohpsfr4;pompsfr5;pohpsfr6;pomperm1;pohperm2;pomperm3;pohperm4;pomperm5;pohperm6;pomtcde1;pohtcde2;pomtcde3;pohtcde4;pomtcde5;pohtcde6;pomtcag1;pohtcag2;pomtcag3;pohtcag4;pomtcag5;pohtcag6;pomtdhc;pohtdhc;pomtmad;pohtmad;pompau1;pohpau2;pomtot1;pohtot2;pomtot3;pohtot4;pomtot5;pohtot6;ththca;thtmas;gppsi;gpper;gpppsp;gpppst;gsppt;gppcpo;gppano;gppavo;gpppta;gppgpn;gpptpot;ocgrps;gmesetot;gsptot;ocgrc;ocgid;occree;ocgoi;ocgpc;ocgog;ocgtg;ocgamc;ocgtgno;gouts;ocgsv;ocgee;ocgar;ocgca;ocgse;ocgsp;ocgco;ocgfa;ocgpp;ocgnr;ocggv;ocgct;ocggr;ocgup;ocgcl;ocgusi;ocgspe;ocgsgn;gppsied1;gppsied2;gppsied3;gppered1;gppered2;gppered3;gpppsp1;gpppsp2;gpppsp3;gpppsted1;gpppsted2;gpppsted3;gppcpoed1;gppcpoed2;gppcpoed3;gppanoed1;gppanoed2;gppanoed3;gppavoed1;gppavoed2;gppavoed3;gppdocen;gppgpaed1;gppmoni;gppgpned1;gppgpned2;gppgpned3;gpptpoted1;gpptpoted2;gpptpoted3;opcomex
18036;H1;52;2019;5200198;0;25450;920864;784173;171322;141;141;0;1207372;1791144;558322;0;25450;270913;196126;0;821809;2612953;5200198;4416025;2784275;2000;0;270418;4929780;0;0;0;79;32;47;53;20;33;0;0;0;0;0;9;2;3;56;85;141;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1207372;270913;0;0;283327;71443;0;0;171322;2784275;0;0;187098;0;37088;0;93572;0;0;0;0;0;0;0;4565;164858;144418;20379;4422;106205;0;0;0;11158;0;10373;72405;0;47737;16586;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
18038;H1;52;2019;6453833;0;39750;1180244;1149850;102059;106;103;0;1520806;1560556;0;0;39750;347092;0;0;718013;2278569;6453833;5303983;2380628;2006;0;0;6453833;3;0;3;97;3;94;0;0;0;0;0;0;0;0;6;0;4;5;101;106;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;88437;1458900;320561;0;0;409073;70136;0;0;102059;2488916;313954;0;31656;0;16477;0;5793;0;0;35561;0;0;0;3839;144;90747;10268;25401;2134;26651;63192;34;0;59168;0;55948;12037;378362;45325;3204;349;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4
18039;H1;52;2019;0;0;;;;;0;0;0;;;;;;;;;0;;;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
18041;H1;52;2019;4211200;0;0;1623906;1481243;67725;80;80;0;949011;1051999;102988;0;0;207366;22488;0;509961;1561960;4211200;2729957;1629685;2009;0;464160;3747040;0;0;0;70;42;28;10;4;6;0;0;0;0;0;0;0;0;46;34;80;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;949011;207366;0;0;235732;44375;0;0;67725;1629685;0;0;41287;0;48499;0;63489;16260;0;213350;0;0;12878;10582;39382;597270;4011;22901;4813;164810;226347;0;81284;33600;0;9222;10263;0;19901;3546;211;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4
18042;H1;52;2019;5389900;0;14437;3403572;3159051;52460;66;66;0;737237;751674;0;0;14437;191073;0;0;341989;1093663;5389900;2230849;1146123;2006;0;0;5389900;0;0;0;63;22;41;0;0;0;0;0;0;0;0;3;2;0;24;42;66;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;144000;636437;147873;0;0;118125;32791;0;0;52460;1146123;2726653;0;53982;0;46068;0;194617;14;0;27571;0;0;0;46679;0;39122;7653;24251;2767;49964;303;0;124126;2731;0;1695;8994;80;20847;25455;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
18043;H1;52;2019;1804993;0;0;379441;362826;89738;55;52;0;455835;799711;343876;0;0;106073;80020;0;356027;1155738;1804993;1442167;1245476;2012;0;950358;854635;3;2;1;31;15;16;21;13;8;0;0;0;0;0;0;0;0;30;25;55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;455835;106073;0;0;137727;32207;0;0;89738;1245476;167413;0;58674;0;10776;0;4458;0;0;5622;0;0;0;6878;27194;32970;5530;10152;1207;13962;60;0;10189;2795;0;0;6899;0;4691;9971;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4
18044;H1;52;2019;5007704;0;19419;2356802;2225028;95516;71;71;0;1104192;1141101;17490;0;19419;278959;3870;0;513948;1655049;5007704;2782676;1750565;2002;0;4013106;994598;0;0;0;68;15;53;1;0;1;0;0;0;0;0;2;1;1;16;55;71;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1104192;278959;0;0;183765;47354;0;0;95516;1750565;239435;0;46439;0;39203;0;53337;19647;0;84040;0;0;0;117344;53521;360078;9535;145595;7160;24868;668761;0;149251;2333;38079;0;39598;187010;35904;35664;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4
18045;H1;52;2019;123912;0;0;20999;18784;6220;79;79;0;887821;887821;0;0;0;195137;0;0;423971;1311792;123912;105128;1318012;2005;0;0;123912;0;0;0;79;2;77;0;0;0;0;0;0;0;0;0;0;0;2;77;79;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;887821;195137;0;0;163516;65318;0;0;6220;1318012;0;0;14890;0;1062;0;1114;0;0;1075;0;0;0;0;140;0;0;0;0;0;0;0;619;0;0;32;497;0;1570;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4
18046;H1;52;2019;12641733;0;7832;8042639;7803295;97836;56;56;0;1451183;1459015;0;0;7832;429301;0;0;758019;2217034;12641733;4838438;2314870;1992;0;0;12641733;0;0;0;55;19;36;0;0;0;0;0;0;0;0;1;1;0;20;36;56;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;400962;1170510;309012;0;0;235302;93416;0;0;97836;2314870;6901345;0;279548;0;58072;0;174985;0;0;0;0;0;0;4496;6805;0;12786;30276;4655;55051;267;6587;16621;380490;0;28741;16670;31749;24443;9052;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
18047;H1;52;2019;2419841;0;19874;483024;468311;119579;61;59;0;855611;875485;0;0;19874;220980;0;0;401255;1276740;2419841;1951530;1396319;1982;0;0;2419841;2;0;2;57;27;30;0;0;0;0;0;0;0;0;2;2;0;29;32;61;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;59210;814164;203217;0;0;141771;38504;0;0;119579;1396319;0;0;55180;0;1034;0;9506;0;0;66801;0;0;0;0;0;178587;4117;7892;4371;34740;12934;0;29128;11619;0;0;37922;0;11137;18056;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
19412;H1;52;2019;1548512;0;0;158131;71894;59667;65;64;0;15314;683502;668188;0;0;3401;166642;0;331660;1015162;1548512;1476618;1074829;2012;0;0;1548512;1;0;1;1;0;1;63;1;62;0;0;0;0;0;0;0;0;1;64;65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;15314;3401;0;0;120760;40857;0;0;59667;1074829;0;0;13943;0;22713;0;47414;15525;0;18380;0;0;0;0;0;0;164;2089;0;2256;427;0;1085;1256;0;5846;2328;733;23972;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4
18048;H1;52;2019;2273217;0;19864;1134165;1055522;26807;34;30;0;673267;693131;0;0;19864;156668;0;0;293949;987080;2273217;1217695;1013887;2013;0;455496;1817721;4;0;4;28;15;13;0;0;0;0;0;0;0;0;2;1;1;16;18;34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;673267;156668;0;0;109485;27796;0;0;26807;1013887;920207;0;46283;0;0;0;77744;0;0;5430;0;0;0;0;3236;19950;0;1888;515;3878;281;0;26302;2315;14982;1756;7521;0;835;1042;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
18049;H1;52;2019;7626209;0;20315;5933075;5418374;60651;61;61;0;3148459;3168774;0;0;20315;850897;0;0;1566102;4734876;7626209;2207835;4795527;2012;0;0;7626209;0;0;0;59;27;32;0;0;0;0;0;0;0;0;2;2;0;29;32;61;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;175468;3025631;798257;0;0;524867;190338;0;0;60651;4795527;3220566;0;222440;0;132327;0;312284;50137;0;218863;0;0;0;5087;11178;322271;0;40531;5624;118696;78944;23389;110277;489869;16440;433593;37979;9194;31554;41832;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
18050;H1;52;2019;3701588;0;44647;389117;332203;167506;149;149;0;2160745;2205392;0;0;44647;415081;0;0;854397;3059789;3701588;3369385;3227295;2011;0;0;3701588;0;0;0;140;125;15;0;0;0;0;0;0;0;0;9;2;4;128;21;149;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;2160745;415081;0;0;350437;88879;0;0;167506;3227295;104635;0;62383;0;36574;0;18702;0;0;26337;0;0;2986;15076;550;10800;0;3220;286;1936;19604;0;4096;0;0;1622;1807;476;77801;226;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4
